node,in_degree,out_degree
17211922,1,1
69444117,2,1
15933979,2,1
268411422,2,2
269591071,2,2
374219300,1,1
374219308,2,1
2700419640,1,1
2983043643,1,1
31072833,3,2
31072835,2,2
190751330,1,1
30745189,1,1
21635690,1,2
264053355,1,1
30745198,2,1
2002526846,2,2
300589712,2,3
2984223377,2,2
15934120,1,1
1668555435,2,1
279225009,1,1
2149262007,2,1
374219451,2,2
30745276,1,1
268346065,1,1
1423221462,1,2
1423221465,1,2
15934179,1,1
1668555499,2,1
1423221486,2,3
21635825,1,2
196420341,2,1
1668555514,1,1
1582801663,2,1
1423221510,3,2
196420359,2,2
1423221521,3,2
70427410,1,1
330343191,1,1
196420378,2,1
1668555546,1,1
1423221536,2,1
599925545,1,2
373990187,2,1
18031404,1,1
599925548,2,1
1423221557,2,3
1070572343,1,1
30745401,1,2
1423221569,2,1
1582801738,1,2
2484118350,1,1
1423221588,1,2
1423221593,1,2
178955100,1,2
178955105,1,2
1423221608,2,1
1423221612,2,1
268575608,1,2
6979593085,2,1
18031489,1,1
6979593089,2,1
1423221638,1,2
1423221645,1,2
1423221646,3,2
1423221663,2,1
21636005,1,1
247931814,1,2
1423221687,2,1
793617352,2,3
793617354,2,2
18031563,1,1
3317605324,2,2
1423221723,2,3
3317605339,2,2
18031581,1,1
25633759,2,2
1423221730,3,2
533570532,1,1
25633778,2,3
25633781,2,2
99034104,2,1
25633789,2,2
25633790,1,1
1070572541,1,1
1423221762,2,2
25633794,1,1
15934468,1,1
270738451,1,1
270738453,1,1
366552086,1,1
270738458,2,2
15934496,1,1
503129124,2,1
2362778669,3,2
503129140,1,2
21275717,1,1
2040913,1,1
15934546,1,2
38413400,1,1
38413401,1,1
38413402,1,1
38413403,1,1
21275743,1,2
2040927,2,2
2040929,1,2
270443623,2,2
2040940,1,1
15934585,1,1
2040956,1,2
2040958,1,1
1423221888,2,2
2040960,1,1
270443649,1,1
2040964,1,1
659793037,1,2
1175495831,1,1
268182703,1,1
2041019,2,2
2041023,1,1
2041029,1,1
1012278472,1,1
265069771,1,1
2041037,2,2
2788500687,2,2
203597008,1,2
2788500700,1,1
2138940637,2,2
3767280862,2,1
2788500709,1,1
485205256,2,2
97854729,1,2
97854731,2,1
6198797602,1,1
30745898,1,1
30745899,1,1
30745904,2,1
173712689,1,2
30745906,1,2
173712692,2,2
1172415803,2,2
2041172,1,1
362554722,1,1
2041194,2,1
319071617,1,1
24487303,1,1
24487308,1,2
492316070,3,2
492316075,3,2
298722733,2,1
2041263,1,1
52766128,1,1
2372052404,1,1
3777865157,1,1
119481800,2,1
303605198,1,2
298722769,1,1
703047140,1,1
343320051,2,1
178923007,2,1
277653015,1,2
277653016,1,1
277653017,1,1
277653018,1,2
268576289,2,1
3356501541,1,2
277653032,2,1
277653038,2,1
1056515631,1,1
277653048,1,1
1703355964,2,1
1703355967,1,1
177579592,1,1
52766292,1,1
417211996,1,1
492316262,3,3
258352746,1,1
2377524854,1,1
21538425,3,2
21538433,1,1
290268806,2,3
178955911,2,1
178923149,1,2
417212045,1,1
255960734,1,2
1406772895,1,2
2096113315,1,1
2071635628,1,1
3316524717,2,2
3316524718,2,2
269395636,1,1
269395641,1,1
2041534,1,1
2041535,2,2
399091392,1,1
251832019,1,2
251832020,1,1
251832033,2,1
177579746,2,1
1786816245,2,2
175351543,1,1
1786816250,2,2
1786816252,2,1
1786816253,1,2
1786816258,1,1
175351555,2,1
1786816264,2,1
268576523,1,1
27502347,1,2
91563789,2,3
268576527,1,1
91563794,3,2
3314099989,1,1
27240218,2,2
27240219,1,1
316253979,2,3
374220576,1,2
250554146,1,1
250554151,1,1
69478188,1,2
21276465,1,1
317302584,2,1
1052190523,1,1
343320410,2,2
21276514,2,1
21276535,1,2
31172474,1,1
258877307,2,1
249243520,1,2
59975553,2,1
304686996,1,1
316155797,2,3
221521814,1,2
322480031,3,3
33499042,1,1
322480039,1,1
322480052,1,1
669165503,2,1
316254145,3,2
374220741,1,1
1124018120,2,2
538355662,1,2
538355678,2,1
538355679,1,2
538355680,1,2
538355681,2,1
18327531,1,2
427567086,1,1
18327534,2,2
21637107,1,1
363997199,2,1
1562060821,2,2
249309205,1,2
21440533,1,2
1562060825,1,1
21375022,1,2
21375024,2,1
277424202,1,1
316155989,2,2
29075552,2,1
316156011,3,2
59975790,1,2
942057585,1,1
292333682,1,1
59975793,2,1
285419647,2,1
1848551556,1,1
349907078,1,2
3605768337,1,1
29730975,1,1
349907111,2,1
184068271,1,2
331327683,1,1
1607575751,1,1
184068297,1,1
33859805,2,2
33859806,1,1
331098336,2,2
331098340,1,1
26421484,3,2
26421492,3,2
436475,1,2
436476,1,1
2118854915,2,1
59975945,2,1
59975947,2,2
305421,2,1
1059694866,2,1
1059694872,2,1
256944416,1,2
436516,2,1
436517,2,1
297740605,1,2
2112366934,2,2
256944473,2,2
256944477,1,1
17475949,2,1
17475956,1,1
17475968,1,2
249309576,1,1
256944522,1,1
249309579,1,1
197470600,2,2
197470605,2,1
331491726,2,1
482781581,2,2
436632,1,2
96545177,1,2
482781594,1,1
1627466140,1,2
30648734,2,2
197470623,1,2
96545190,1,2
1419749802,2,3
96545194,1,1
436651,3,2
436653,2,3
96545200,2,2
1419749809,3,2
21735858,1,1
197470644,2,2
446048700,1,2
470231485,1,2
197470654,2,1
1590077889,2,1
197470661,1,2
1952459209,3,2
197470667,1,1
1952459219,2,1
2962926038,1,1
21113306,2,2
21309918,1,2
97888736,2,2
21113314,1,1
97888741,1,1
21309928,2,1
17476073,1,1
1394846201,1,1
1355852285,2,2
1394846213,1,1
21047823,1,1
96545304,2,2
290531866,1,1
96545319,2,1
83667496,2,1
251832877,2,1
2066098734,2,2
1394846267,1,2
436795,2,3
436811,2,2
287648333,1,2
287648335,2,2
1776331344,1,2
287648340,1,1
4719094369,2,2
3969395298,2,1
21441127,1,1
6221474408,2,2
6221474413,2,2
269396599,1,1
1996892795,1,1
2102209156,1,1
1581230771,1,1
29862593,2,1
436934,1,2
29862598,1,1
436937,2,1
269396685,1,1
310389457,2,2
272509653,1,1
3252824791,1,1
310389462,2,2
1598270170,1,2
1833511644,3,2
1598270175,1,2
1732782821,2,1
69479153,1,1
198028017,2,2
267758323,1,2
198028021,1,1
267758327,2,1
30419715,2,2
30419717,1,1
273158,2,1
